question_id,source_query
18,"SELECT COUNT(T1.""CDSCode"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""County Name"" = 'Fresno' AND T2.""NumTstTakr"" <= 250"
21,"SELECT COUNT(""CDSCode"") FROM ""frpm"" WHERE ""County Name"" = 'Los Angeles' AND ""Free Meal Count (K-12)"" > 500 AND ""FRPM Count (K-12)"" < 700"
20,"SELECT COUNT(T1.""School Name"") FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Amador' AND T1.""Low Grade"" = '9' AND T1.""High Grade"" = '12'"
22,"SELECT ""sname"" FROM ""satscores"" WHERE ""cname"" = 'Contra Costa' AND ""sname"" IS NOT NULL ORDER BY ""NumTstTakr"" DESC NULLS LAST LIMIT 1"
25,"SELECT T1.""sname"", T2.""Charter Funding Type"" FROM ""satscores"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""District Name"" LIKE 'Riverside%' GROUP BY T1.""sname"", T2.""Charter Funding Type"" HAVING SUM(T1.""AvgScrMath"")::DOUBLE PRECISION / COUNT(T1.""cds"") > 400"
26,"SELECT T1.""School Name"", T2.""Street"", T2.""City"", T2.""State"", T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Monterey' AND T1.""Free Meal Count (Ages 5-17)"" > 800 AND T1.""School Type"" = 'High Schools (Public)'"
29,"SELECT T2.""OpenDate"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""Enrollment (K-12)"" DESC NULLS LAST LIMIT 1"
10,"SELECT T2.""FRPM Count (Ages 5-17)"" FROM ""satscores"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""AvgScrRead"" DESC NULLS FIRST LIMIT 1"
28,"SELECT T2.""School"", T2.""DOC"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""FundingType"" = 'Locally funded' AND (T1.""Enrollment (K-12)"" - T1.""Enrollment (Ages 5-17)"") > (SELECT AVG(T3.""Enrollment (K-12)"" - T3.""Enrollment (Ages 5-17)"") FROM ""frpm"" AS T3 INNER JOIN ""schools"" AS T4 ON T3.""CDSCode"" = T4.""CDSCode"" WHERE T4.""FundingType"" = 'Locally funded')"
31,"SELECT ""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"" FROM ""frpm"" ORDER BY ""Enrollment (K-12)"" DESC NULLS LAST OFFSET 9 LIMIT 2"
32,"SELECT T1.""FRPM Count (K-12)""::DOUBLE PRECISION / T1.""Enrollment (K-12)"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""SOC"" = '66' ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 5"
33,"SELECT T2.""Website"", T1.""School Name"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Free Meal Count (Ages 5-17)"" BETWEEN 1900 AND 2000 AND T2.""Website"" IS NOT NULL"
30,"SELECT T2.""City"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" GROUP BY T2.""City"" ORDER BY SUM(T1.""Enrollment (K-12)"") ASC NULLS FIRST, T2.""City"" ASC NULLS FIRST LIMIT 5"
35,"SELECT T2.""AdmEmail1"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter School (Y/N)"" = TRUE ORDER BY T1.""Enrollment (K-12)"" ASC NULLS LAST LIMIT 1"
36,"SELECT T2.""AdmFName1"", T2.""AdmLName1"", T2.""AdmFName2"", T2.""AdmLName2"", T2.""AdmFName3"", T2.""AdmLName3"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1"
38,"SELECT T2.""Website"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T1.""NumTstTakr"" BETWEEN 2000 AND 3000 AND T2.""County"" = 'Los Angeles'"
34,"SELECT T2.""Free Meal Count (Ages 5-17)""::DOUBLE PRECISION / T2.""Enrollment (Ages 5-17)"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""AdmFName1"" = 'Kacey' AND T1.""AdmLName1"" = 'Gibson'"
39,"SELECT AVG(T1.""NumTstTakr"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE EXTRACT(YEAR FROM T2.""OpenDate"") = 1980 AND T2.""County"" = 'Fresno'"
40,"SELECT T2.""Phone"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""District"" = 'Fresno Unified' AND T1.""AvgScrRead"" IS NOT NULL ORDER BY T1.""AvgScrRead"" ASC NULLS LAST LIMIT 1"
42,"SELECT T2.""EdOpsName"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""AvgScrMath"" DESC NULLS LAST LIMIT 1"
41,"SELECT ""School"" FROM (SELECT T2.""School"", T1.""AvgScrRead"", RANK() OVER (PARTITION BY T2.""County"" ORDER BY T1.""AvgScrRead"" DESC) AS rnk FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Virtual"" = 'F' ) AS ranked_schools WHERE rnk <= 5"
44,"SELECT T1.""AvgScrWrite"", T2.""City"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1"
45,"SELECT T2.""School"", T1.""AvgScrWrite"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""AdmFName1"" = 'Ricci' AND T2.""AdmLName1"" = 'Ulrich'"
46,"SELECT T2.""School"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""DOC"" = '31' ORDER BY T1.""Enrollment (K-12)"" DESC NULLS LAST LIMIT 1"
47,"SELECT COUNT(""School"")::DOUBLE PRECISION / 12 FROM ""schools"" WHERE ""DOC"" = '52' AND ""County"" = 'Alameda' AND EXTRACT(YEAR FROM ""OpenDate"") = 1980"
48,"SELECT (SUM(CASE WHEN ""DOC"" = '54' THEN 1 ELSE 0 END))::DOUBLE PRECISION / SUM(CASE WHEN ""DOC"" = '52' THEN 1 ELSE 0 END) FROM ""schools"" WHERE ""StatusType"" = 'Merged' AND ""County"" = 'Orange'"
52,"SELECT COUNT(T1.""cds"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""MailCity"" = 'Lakeport' AND (T1.""AvgScrRead"" + T1.""AvgScrMath"" + T1.""AvgScrWrite"") >= 1500"
53,"SELECT T1.""NumTstTakr"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""MailCity"" = 'Fresno'"
54,"SELECT ""School"", ""MailZip"" FROM ""schools"" WHERE ""AdmFName1"" = 'Avetik' AND ""AdmLName1"" = 'Atoian'"
55,"SELECT SUM(CASE WHEN ""County"" = 'Colusa' THEN 1 ELSE 0 END)::DOUBLE PRECISION / SUM(CASE WHEN ""County"" = 'Humboldt' THEN 1 ELSE 0 END) FROM ""schools"" WHERE ""MailState"" = 'CA'"
56,"SELECT COUNT(""CDSCode"") FROM ""schools"" WHERE ""City"" = 'San Joaquin' AND ""MailState"" = 'CA' AND ""StatusType"" = 'Active'"
58,"SELECT ""Phone"", ""Ext"", ""School"" FROM ""schools"" WHERE ""Zip"" = '95203-3704'"
59,"SELECT ""Website"" FROM ""schools"" WHERE (""AdmFName1"" = 'Mike' AND ""AdmLName1"" = 'Larson') OR (""AdmFName1"" = 'Dante' AND ""AdmLName1"" = 'Alvarez')"
60,"SELECT ""Website"" FROM ""schools"" WHERE ""County"" = 'San Joaquin' AND ""Virtual"" = 'P' AND ""Charter"" = TRUE"
61,"SELECT COUNT(""School"") FROM ""schools"" WHERE ""DOC"" = '52' AND ""Charter"" = TRUE AND ""City"" = 'Hickman'"
62,"SELECT COUNT(T2.""School"") FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Los Angeles' AND T2.""Charter"" = FALSE AND T1.""Free Meal Count (K-12)""::DOUBLE PRECISION * 100 / T1.""Enrollment (K-12)"" < 0.18;"
63,"SELECT ""AdmFName1"", ""AdmLName1"", ""School"", ""City"" FROM ""schools"" WHERE ""Charter"" = TRUE AND ""CharterNum"" = '00D2'"
64,"SELECT COUNT(*) FROM ""schools"" WHERE ""CharterNum"" = '00D4' AND ""MailCity"" = 'Hickman'"
65,"SELECT SUM(CASE WHEN ""FundingType"" = 'Locally funded' THEN 1 ELSE 0 END)::DOUBLE PRECISION * 100 / SUM(CASE WHEN ""FundingType"" != 'Locally funded' THEN 1 ELSE 0 END) FROM ""schools"" WHERE ""County"" = 'Santa Clara' AND ""Charter"" = TRUE"
66,"SELECT COUNT(""School"") FROM ""schools"" WHERE TO_CHAR(""OpenDate"", 'YYYY') BETWEEN '2000' AND '2005' AND ""County"" = 'Stanislaus' AND ""FundingType"" = 'Directly funded'"
67,"SELECT COUNT(""School"") FROM ""schools"" WHERE EXTRACT(YEAR FROM ""ClosedDate"") = 1989 AND ""City"" = 'San Francisco' AND ""DOCType"" = 'Community College District'"
69,"SELECT ""NCESDist"" FROM ""schools"" WHERE ""SOC"" = '31'"
70,"SELECT COUNT(""School"") FROM ""schools"" WHERE (""StatusType"" = 'Closed' OR ""StatusType"" = 'Active') AND ""SOC"" = '69' AND ""County"" = 'Alpine'"
71,"SELECT T1.""District Code"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""City"" = 'Fresno' AND T2.""Magnet"" = FALSE"
74,"SELECT MIN(T1.""Low Grade"") FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""NCESDist"" = '0613360' AND T2.""EdOpsCode"" = 'SPECON'"
72,"SELECT T1.""Enrollment (Ages 5-17)"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""EdOpsCode"" = 'SSS' AND T2.""City"" = 'Fremont' AND LEFT(T1.""Academic Year"", 4)::INTEGER BETWEEN 2014 AND 2015"
75,"SELECT T2.""EILName"", T2.""School"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""NSLP Provision Status"" = 'Breakfast Provision 2' AND T1.""County Code"" = '37'"
76,"SELECT T2.""City"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""NSLP Provision Status"" = 'Lunch Provision 2' AND T2.""County"" = 'Merced' AND T1.""Low Grade"" = '9' AND T1.""High Grade"" = '12' AND T2.""EILCode"" = 'HS'"
77,"SELECT ""T2"".""School"", ""T1"".""FRPM Count (Ages 5-17)"" * 100 / ""T1"".""Enrollment (Ages 5-17)"" FROM ""frpm"" AS ""T1"" INNER JOIN ""schools"" AS ""T2"" ON ""T1"".""CDSCode"" = ""T2"".""CDSCode"" WHERE ""T2"".""County"" = 'Los Angeles' AND ""T2"".""GSserved"" = 'K-9'"
78,"SELECT ""GSserved"" FROM ""schools"" WHERE ""City"" = 'Adelanto' GROUP BY ""GSserved"" ORDER BY COUNT(""GSserved"") DESC NULLS LAST LIMIT 1"
79,"SELECT ""County"", COUNT(""Virtual"") FROM ""schools"" WHERE (""County"" = 'San Diego' OR ""County"" = 'Santa Barbara') AND ""Virtual"" = 'F' GROUP BY ""County"" ORDER BY COUNT(""Virtual"") DESC NULLS LAST LIMIT 1"
80,"SELECT T1.""School Type"", T1.""School Name"", T2.""Latitude"" FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T2.""Latitude"" DESC NULLS LAST LIMIT 1"
81,"SELECT T2.""City"", T1.""Low Grade"", T1.""School Name"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""State"" = 'CA' ORDER BY T2.""Latitude"" ASC NULLS FIRST LIMIT 1"
83,"SELECT T2.""City"", COUNT(T2.""CDSCode"") FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""Magnet"" IS TRUE AND T2.""GSoffered"" = 'K-8' AND T1.""NSLP Provision Status"" = 'Multiple Provision Types' GROUP BY T2.""City"""
85,"SELECT T1.""Free Meal Count (K-12)"" * 100.0 / T1.""Enrollment (K-12)"", T1.""District Code"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""AdmFName1"" = 'Alusine'"
82,"SELECT ""GSoffered"" FROM ""schools"" WHERE ABS(""Longitude"") = (SELECT MAX(ABS(""Longitude"")) FROM ""schools"") ORDER BY ""CDSCode"" ASC LIMIT 1"
88,"SELECT T2.""AdmEmail1"", T2.""School"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1"
87,"SELECT T2.""AdmEmail1"", T2.""AdmEmail2"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'San Bernardino' AND T2.""City"" = 'San Bernardino' AND T2.""DOC"" = '54' AND TO_CHAR(T2.""OpenDate"", 'YYYY') BETWEEN '2009' AND '2010' AND T2.""SOC"" = '62'"
84,"WITH RankedAdmFName AS ( SELECT ""AdmFName1"", COUNT(""AdmFName1"") AS name_count, ROW_NUMBER() OVER (ORDER BY COUNT(""AdmFName1"") DESC, ""AdmFName1"" ASC) as rn FROM ""schools"" WHERE ""AdmFName1"" IS NOT NULL GROUP BY ""AdmFName1"" ) SELECT DISTINCT T1.""AdmFName1"", T1.""District"" FROM ""schools"" AS T1 INNER JOIN RankedAdmFName AS T2 ON T1.""AdmFName1"" = T2.""AdmFName1"" WHERE T2.rn <= 2 ORDER BY T1.""AdmFName1"" ASC, T1.""District"" ASC"
